developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
Tran_14,7000,,allocated,07/13/0389/F-da,local-authority-eng:BRX,2020-11-23,2013-09-02,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-14
Tran_15,2000,,allocated,07/12/0576/F-da,local-authority-eng:BRX,2020-11-23,2012-09-05,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-15
Tran_16,7582,,allocated,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-16
Tran_17,27000,,allocated,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-17
Tran_18,19842,,allocated,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-18
Tran_19,2552.87,,allocated,07/13/0383/O-da,local-authority-eng:BRX,2020-11-23,2013-07-31,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-19
Tran_20,4000,,allocated,07/15/0988/F-da,local-authority-eng:BRX,2020-11-23,2015-11-28,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-20
Tran_21,6000,,allocated,07/14/0897/F-da,local-authority-eng:BRX,2020-11-23,2015-04-15,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-21
Tran_22,34948,,allocated,07/16/0644/F-da,local-authority-eng:BRX,2020-11-23,2017-10-03,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-22
Tran_23,60000,,allocated,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-23
Tran_24,6000,,allocated,07/15/0209/F-da,local-authority-eng:BRX,2020-11-23,2015-05-19,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-24
Tran_25,58288,,allocated,07/13/0191/F-da,local-authority-eng:BRX,2020-11-23,2013-06-07,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-25
Tran_26,3000,,allocated,07/14/0797/F-da,local-authority-eng:BRX,2020-11-23,2014-11-28,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-26
Tran_27,15000,,allocated,07/13/0541/F-da,local-authority-eng:BRX,2020-11-23,2013-09-26,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-27
Tran_28,65250,,allocated,07/12/0573/F-da,local-authority-eng:BRX,2020-11-23,2012-10-11,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-28
Tran_29,6000,,allocated,07/14/0897/F-da,local-authority-eng:BRX,2020-11-23,2015-04-15,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-29
Tran_30,20000,,allocated,07/14/0629/F-da,local-authority-eng:BRX,2020-11-23,2014-12-11,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-30
Tran_31,2078,,allocated,07/11/0779/F-da,local-authority-eng:BRX,2020-11-23,2012-05-23,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-31
Tran_32,6000,,allocated,07/11/0898/F-da,local-authority-eng:BRX,2020-11-23,2012-05-04,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-32
Tran_33,3000,,allocated,07/14/1091/F-da,local-authority-eng:BRX,2020-11-23,2014-12-30,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-33
Tran_34,100000,,allocated,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-34
Tran_35,2000,,allocated,07/13/0994/F-da,local-authority-eng:BRX,2020-11-23,2014-01-23,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-35
Tran_36,8972,,allocated,07/09/0397/F-da,local-authority-eng:BRX,2020-11-23,2011-11-16,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-36
Tran_37,2412,,allocated,07/10/0584/F-da,local-authority-eng:BRX,2020-11-23,2011-07-20,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-37
Tran_38,67561,,allocated,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-38
Tran_39,98055,,allocated,07/10/0147/F-da,local-authority-eng:BRX,2020-11-23,2011-04-12,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-39
Tran_40,177384,,allocated,07/10/0190/F-da,local-authority-eng:BRX,2020-11-23,2010-06-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-40
Tran_41,100000,,allocated,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-41
Tran_42,118000,,allocated,7/0674/08/F/WOL-da,local-authority-eng:BRX,2020-11-23,2010-02-01,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-42
Tran_43,15340,,allocated,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-43
Tran_44,50000,,allocated,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-44
Tran_45,20816,,allocated,07/13/0980/F-da,local-authority-eng:BRX,2020-11-23,2014-09-30,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-45
Tran_46,24000,,allocated,07/12/0824/F-da,local-authority-eng:BRX,2020-11-23,2012-12-20,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-46
Tran_47,9000,,allocated,07/14/0140/F-da,local-authority-eng:BRX,2020-11-23,2014-05-14,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-47
Tran_48,22245.75,,allocated,07/09/0397/F-da,local-authority-eng:BRX,2020-11-23,2011-11-16,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-48
Tran_49,158011,,allocated,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-49
Tran_50,40000,,allocated,7/0497/05/O/WX-da,local-authority-eng:BRX,2020-11-23,2006-06-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-50
Tran_51,1610081,,allocated,7/0078/05/F/WX-da,local-authority-eng:BRX,2020-11-23,2006-06-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-51
Tran_52,24335,,allocated,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-52
Tran_53,1096,,allocated,07/15/0766/F-da,local-authority-eng:BRX,2020-11-23,2015-10-29,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-53
Tran_54,24000,,allocated,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-54
Tran_55,20457,,transferred,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-55
Tran_56,33730,,transferred,07/11/0481/F-da,local-authority-eng:BRX,2020-11-23,2011-11-25,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-56
Tran_57,35,,spent,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-57
Tran_58,14491,,spent,07/09/0765/F-da,local-authority-eng:BRX,2020-11-23,2010-05-11,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-58
Tran_59,7000,,spent,07/13/0389/F-da,local-authority-eng:BRX,2020-11-23,2013-09-02,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-59
Tran_60,2000,,spent,07/12/0576/F-da,local-authority-eng:BRX,2020-11-23,2012-09-05,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-60
Tran_61,971,,spent,07/09/0765/F-da,local-authority-eng:BRX,2020-11-23,2010-05-11,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-61
Tran_62,7500,,spent,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-62
Tran_63,21606,,spent,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-63
Tran_64,19868,,spent,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-64
Tran_65,2553,,spent,07/13/0383/O-da,local-authority-eng:BRX,2020-11-23,2013-07-31,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-65
Tran_66,298,,spent,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-66
Tran_67,1860,,spent,07/15/0988/F-da,local-authority-eng:BRX,2020-11-23,2015-11-28,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-67
Tran_68,6000,,spent,07/14/0897/F-da,local-authority-eng:BRX,2020-11-23,2015-04-15,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-68
Tran_69,33989,,spent,07/16/0644/F-da,local-authority-eng:BRX,2020-11-23,2017-10-03,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-69
Tran_70,59162,,spent,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-70
Tran_71,2295,,spent,07/14/0797/F-da,local-authority-eng:BRX,2020-11-23,2014-11-28,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-71
Tran_72,100000,,spent,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-72
Tran_73,118000,,spent,7/0674/08/F/WOL-da,local-authority-eng:BRX,2020-11-23,2010-02-01,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-73
Tran_74,10275.37,,spent,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-74
Tran_75,21621,,spent,07/12/0524/O-da,local-authority-eng:BRX,2020-11-23,2013-07-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-75
Tran_76,20816,,spent,07/13/0980/F-da,local-authority-eng:BRX,2020-11-23,2014-09-30,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-76
Tran_77,21090,,spent,07/12/0824/F-da,local-authority-eng:BRX,2020-11-23,2012-12-20,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-77
Tran_78,5684,,spent,07/14/0140/F-da,local-authority-eng:BRX,2020-11-23,2014-05-14,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-78
Tran_79,20475,,spent,07/09/0397/F-da,local-authority-eng:BRX,2020-11-23,2011-11-16,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-79
Tran_80,288,,spent,07/13/0631/F-da,local-authority-eng:BRX,2020-11-23,2014-02-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-80
Tran_81,40000,,spent,7/0497/05/O/WX-da,local-authority-eng:BRX,2020-11-23,2006-06-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-81
Tran_82,979738,,spent,7/0078/05/F/WX-da,local-authority-eng:BRX,2020-11-23,2006-06-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-82
